day_label,date,activity,type,time_1,timezone_1_label
August 27,2026-08-27,Welcome Introduction,activity,11:00,"Time (ET)"
August 27,2026-08-27,Module 1: Logging into AWS (Zhibin),activity,11:10,"Time (ET)"
August 27,2026-08-27,Short Break,break,12:10,"Time (ET)"
August 27,2026-08-27,Module 2: Introduction to the UNIX Command Line (Chaitra),activity,12:15,"Time (ET)"
August 27,2026-08-27,Module 3: File Manipulation (Chaitra),activity,12:35,"Time (ET)"
August 27,2026-08-27,Long Break,break,13:05,"Time (ET)"
August 27,2026-08-27,Module 4: Searching and Sorting Through Files (Chaitra),activity,14:05,"Time (ET)"
August 27,2026-08-27,Short Break,break,15:00,"Time (ET)"
August 27,2026-08-27,Module 5: Shell scripts (Chaitra),activity,15:05,"Time (ET)"
August 28,2026-08-28,"Welcome back, any questions",activity,11:00,"Time (ET)"
August 28,2026-08-28,Module 1: Conda (Gustavo),activity,11:10,"Time (ET)"
August 28,2026-08-28,Short Break,break,12:30,"Time (ET)"
August 28,2026-08-28,Module 2: Introduction to R/RStudio (Gustavo),activity,12:45,"Time (ET)"
August 28,2026-08-28,Long Break,break,13:45,"Time (ET)"
August 28,2026-08-28,Module 3: Seeking help (Jimmy),activity,14:35,"Time (ET)"
August 28,2026-08-28,Module 4: Data structures/dataframes (Jimmy),activity,14:55,"Time (ET)"
August 28,2026-08-28,Short Break,break,15:00,"Time (ET)"
August 28,2026-08-28,Module 5: Visualization/writing out (Jimmy),activity,15:25,"Time (ET)"
