day_label,date,activity,type,time_1,timezone_1_label
September 15,2026-09-15,Arrivals & Check-in,break,08:30,"Time (ET)"
September 15,2026-09-15,"Welcome (Coordinator)",activity,09:00,"Time (ET)"
September 15,2026-09-15,Module 1: Marker gene profiling,activity,09:30,"Time (ET)"
September 15,2026-09-15,Break (30min),break,10:30,"Time (ET)"
September 15,2026-09-15,Module 1 Lab,activity,11:00,"Time (ET)"
September 15,2026-09-15,Lunch (1h),break,13:00,"Time (ET)"
September 15,2026-09-15,Module 2: Microbiome ecology statistics and visualizations,activity,14:00,"Time (ET)"
September 15,2026-09-15,Break (30min),break,15:00,"Time (ET)"
September 15,2026-09-15,Module 2 Lab,activity,15:30,"Time (ET)"
September 15,2026-09-15,Finished,break,17:30,"Time (ET)"
September 16,2026-09-16,Arrivals,break,08:30,"Time (ET)"
September 16,2026-09-16,Module 3: Introduction to metagenomics and read-based profiling,activity,09:00,"Time (ET)"
September 16,2026-09-16,Break (30min),break,10:00,"Time (ET)"
September 16,2026-09-16,Module 3 Lab,activity,10:30,"Time (ET)"
September 16,2026-09-16,Class photo + Lunch (1h),break,12:30,"Time (ET)"
September 16,2026-09-16,Module 4: Metagenomic Assembly and Binning,activity,13:30,"Time (ET)"
September 16,2026-09-16,Break (30min),break,14:30,"Time (ET)"
September 16,2026-09-16,Module 4 Lab,activity,15:00,"Time (ET)"
September 16,2026-09-16,Finished,break,17:30,"Time (ET)"
September 17,2026-09-17,Arrivals,break,08:30,"Time (ET)"
September 17,2026-09-17,Module 5: Assigning Functions,activity,09:00,"Time (ET)"
September 17,2026-09-17,Break (30min),break,10:00,"Time (ET)"
September 17,2026-09-17,Module 5 Lab,activity,10:30,"Time (ET)"
September 17,2026-09-17,Class photo + Lunch (1h),break,12:30,"Time (ET)"
September 17,2026-09-17,Module 6: Visualization and Finding Functional Significance,activity,13:30,"Time (ET)"
September 17,2026-09-17,Break (30min),break,14:30,"Time (ET)"
September 17,2026-09-17,Module 6 Lab,activity,15:00,"Time (ET)"
September 17,2026-09-17,Survey & Closing Remarks,activity,17:00,"Time (ET)"
September 17,2026-09-17,Finished,break,17:30,"Time (ET)"
